Zotero.URL|References
https://www.zotero.org/groups/1051264/seshat_databank/items/76TG446Q $ https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E $ https://www.zotero.org/groups/1051264/seshat_databank/search/items/ARUIRN36|(Fanning 1995) $ (Morby 2018) $ (Wood 1994)
https://www.zotero.org/groups/1051264/seshat_databank/search/Wood%201994/titleCreatorYear/items/ARUIRN35 $ https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E|(Wood 1994) $ (Morby 2018)
https://www.zotero.org/groups/1051264/seshat_databank/search/Gregory%201916/titleCreatorYear/items/HMRZD6ZJ/item-list $ https://www.zotero.org/groups/1051264/seshat_databank/search/Wood%201994/titleCreatorYear/items/ARUIRN35 $ https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E|(Gregory 1916) $ (Wood 1994) $ (Morby 2018)
https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E|(Morby 2018)
https://www.zotero.org/groups/1051264/seshat_databank/search/Oman%201908/titleCreatorYear/items/TAWYQK39/item-list $ https://www.zotero.org/groups/1051264/seshat_databank/search/Gregory%201916/titleCreatorYear/items/HMRZD6ZJ/item-list $ https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E|(Oman 1908) $ (Gregory 1916) $ (Morby 2018)
https://www.zotero.org/groups/1051264/seshat_databank/search/Wood%201994/titleCreatorYear/items/ARUIRN35 $ https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E|(Wood 1994) $ (Morby 2018)
https://www.zotero.org/groups/1051264/seshat_databank/search/Wood%201994/titleCreatorYear/items/ARUIRN35 $ https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E|(Wood 1994) $ (Morby 2018)
https://www.zotero.org/groups/1051264/seshat_databank/search/Wood%201994/titleCreatorYear/items/ARUIRN35 $ https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E|(Wood 1994) $ (Morby 2018)
https://www.zotero.org/groups/1051264/seshat_databank/search/Wood%201994/titleCreatorYear/items/ARUIRN35 $ https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E|(Wood 1994) $ (Morby 2018)
https://www.zotero.org/groups/1051264/seshat_databank/search/Wood%201994/titleCreatorYear/items/ARUIRN35 $ https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E|(Wood 1994) $ (Morby 2018)
https://www.zotero.org/groups/1051264/seshat_databank/search/Wood%201994/titleCreatorYear/items/ARUIRN35 $ https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E|(Wood 1994) $ (Morby 2018)
https://www.zotero.org/groups/1051264/seshat_databank/search/Wood%201994/titleCreatorYear/items/ARUIRN35 $ https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E|(Wood 1994) $ (Morby 2018)
https://www.zotero.org/groups/1051264/seshat_databank/search/Wood%201994/titleCreatorYear/items/ARUIRN35 $ https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E|(Wood 1994) $ (Morby 2018)
https://www.zotero.org/groups/1051264/seshat_databank/search/Wood%201994/titleCreatorYear/items/ARUIRN35 $ https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E|(Wood 1994) $ (Morby 2018)
https://www.zotero.org/groups/1051264/seshat_databank/search/Wood%201994/titleCreatorYear/items/ARUIRN35 $ https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E|(Wood 1994) $ (Morby 2018)
https://www.zotero.org/groups/1051264/seshat_databank/search/Wood%201994/titleCreatorYear/items/ARUIRN35 $ https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E|(Wood 1994) $ (Morby 2018)
https://www.zotero.org/groups/1051264/seshat_databank/search/Wood%201994/titleCreatorYear/items/ARUIRN35 $ https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E|(Wood 1994) $ (Morby 2018)
https://www.zotero.org/groups/1051264/seshat_databank/search/Wood%201994/titleCreatorYear/items/ARUIRN35 $ https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E|(Wood 1994) $ (Morby 2018)
https://www.zotero.org/groups/1051264/seshat_databank/search/Wood%201994/titleCreatorYear/items/ARUIRN35 $ https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E|(Wood 1994) $ (Morby 2018)
https://www.zotero.org/groups/1051264/seshat_databank/search/McKitterick%201983/titleCreatorYear/items/JW25ZUCQ/item-list $ https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E|(McKitterick 1983) $ (Morby 2018)
https://www.zotero.org/groups/1051264/seshat_databank/search/Chamberlin%202004/titleCreatorYear/items/C67UW7EB/item-list $ https://www.zotero.org/groups/1051264/seshat_databank/search/McKitterick%201983/titleCreatorYear/items/JW25ZUCQ/item-list $ https://www.zotero.org/groups/1051264/seshat_databank/items/3C5IVS6E|(Chamberlin 2004) $ (McKitterick 1983) $ (Morby 2018)
